onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.033	1.8	no_response	n/a	1.0	n/a	p	TR
5.839	2.0	1-back	0.0	0.0	n/a	f	BL
7.845	2.0	1-back	1.0	0.0	n/a	n	BL
9.851	2.0	1-back	0.0	0.0	0.519	x	TR
11.858	2.0	1-back	0.0	1.0	0.436	c	TL
13.864	2.0	1-back	1.0	0.0	0.362	p	TL
15.87	2.0	1-back	0.0	1.0	0.641	n	BL
17.876	2.0	1-back	0.0	0.0	0.893	c	TR
19.883	2.0	1-back	1.0	0.0	0.849	g	TR
21.889	2.0	1-back	0.0	0.0	0.57	n	TL
23.895	2.0	1-back	0.0	1.0	0.448	s	BR
25.901	2.0	1-back	0.0	1.0	0.527	x	BL
27.908	2.0	1-back	0.0	1.0	0.622	t	TL
29.914	2.0	1-back	1.0	1.0	0.658	g	TL
31.92	2.0	1-back	0.0	1.0	0.405	p	BR
33.926	2.0	1-back	0.0	1.0	0.461	c	TL
35.933	2.0	1-back	1.0	1.0	0.78	r	TL
37.939	2.0	1-back	0.0	1.0	0.742	t	BL
39.945	2.0	1-back	1.0	1.0	0.573	v	BL
41.951	2.0	1-back	0.0	1.0	0.586	g	BR
43.958	2.0	1-back	0.0	1.0	0.578	p	TL
45.964	2.0	1-back	0.0	1.0	0.635	x	BR
47.97	2.0	1-back	1.0	1.0	0.443	z	BR
49.976	2.0	1-back	0.0	1.0	0.574	l	TR
51.983	2.0	1-back	1.0	1.0	0.723	v	TR
53.989	2.0	1-back	0.0	1.0	0.544	n	BR
55.995	2.0	1-back	0.0	1.0	0.599	r	BL
58.001	2.0	1-back	1.0	0.0	0.529	s	BL
60.008	2.0	1-back	0.0	1.0	0.577	z	TR
62.014	2.0	1-back	0.0	1.0	0.562	l	TL
64.02	2.0	1-back	0.0	1.0	0.52	g	BR
66.026	2.0	1-back	1.0	0.0	0.457	f	BR
68.033	2.0	1-back	0.0	1.0	0.503	t	TR
70.039	2.0	1-back	0.0	1.0	0.648	z	TL
72.045	2.0	1-back	1.0	0.0	0.478	l	TL
74.051	2.0	1-back	0.0	1.0	0.683	f	BL
76.058	2.0	1-back	0.0	1.0	0.499	t	TR
78.064	2.0	1-back	1.0	1.0	0.704	r	TR
80.07	2.0	1-back	0.0	1.0	0.378	l	BR
82.076	2.0	1-back	1.0	0.0	0.371	z	BR
84.083	2.0	1-back	0.0	1.0	0.561	r	TR
86.089	2.0	1-back	1.0	1.0	0.647	v	TR
88.095	2.0	1-back	0.0	1.0	1.037	s	BL
90.101	2.0	1-back	1.0	0.0	n/a	f	BL
92.108	2.0	1-back	0.0	1.0	0.45	v	TL
94.114	2.0	1-back	0.0	1.0	0.405	x	BR
96.12	2.0	1-back	1.0	0.0	0.358	c	BR
98.126	2.0	1-back	0.0	1.0	0.431	s	BL
104.164	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.22	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.276	2.0	baseline	1.0	1.0	0.59	redcross.bmp	n/a
110.333	2.0	baseline	1.0	1.0	0.507	redcross.bmp	n/a
112.389	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.446	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.502	2.0	baseline	1.0	1.0	0.56	redcross.bmp	n/a
118.558	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.615	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.671	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.728	2.0	baseline	1.0	1.0	0.447	redcross.bmp	n/a
126.784	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.834	1.8	no_response	n/a	1.0	n/a	c	BL
134.64	1.8	no_response	n/a	1.0	n/a	l	TR
136.446	2.0	2-back	0.0	1.0	0.937	v	BR
138.452	2.0	2-back	1.0	0.0	0.76	p	TR
140.458	2.0	2-back	0.0	1.0	0.865	r	TL
142.464	2.0	2-back	0.0	0.0	0.659	t	BR
144.471	2.0	2-back	1.0	0.0	0.605	n	TL
146.477	2.0	2-back	0.0	1.0	0.62	s	TR
148.483	2.0	2-back	0.0	1.0	0.645	f	BL
150.489	2.0	2-back	1.0	0.0	0.773	x	TR
152.496	2.0	2-back	0.0	1.0	0.631	v	BR
154.502	2.0	2-back	0.0	1.0	0.792	p	BL
156.508	2.0	2-back	1.0	1.0	0.837	f	BR
158.514	2.0	2-back	0.0	1.0	0.615	n	TL
160.521	2.0	2-back	0.0	1.0	0.647	x	TR
162.527	2.0	2-back	1.0	1.0	0.705	t	TL
164.533	2.0	2-back	0.0	0.0	0.939	s	BL
166.539	2.0	2-back	0.0	1.0	0.435	l	TR
168.546	2.0	2-back	1.0	0.0	0.538	f	BL
170.552	2.0	2-back	1.0	0.0	0.445	c	TR
172.558	2.0	2-back	0.0	0.0	0.577	r	TL
174.564	2.0	2-back	1.0	0.0	n/a	g	TR
176.571	2.0	2-back	0.0	0.0	0.752	s	BL
178.577	2.0	2-back	0.0	1.0	0.53	r	BR
180.583	2.0	2-back	1.0	1.0	0.551	v	BL
182.589	2.0	2-back	0.0	1.0	0.817	p	BL
184.596	2.0	2-back	0.0	0.0	0.725	t	TL
186.602	2.0	2-back	1.0	0.0	0.37	x	BL
188.608	2.0	2-back	0.0	1.0	0.669	z	BR
190.614	2.0	2-back	0.0	1.0	0.681	t	TR
192.621	2.0	2-back	0.0	1.0	0.817	g	TL
194.627	2.0	2-back	1.0	0.0	0.758	c	TR
196.633	2.0	2-back	0.0	1.0	0.716	p	BL
198.639	2.0	2-back	0.0	1.0	0.924	s	BR
200.646	2.0	2-back	0.0	1.0	0.708	v	TL
202.652	2.0	2-back	1.0	0.0	0.955	n	BR
204.658	2.0	2-back	0.0	0.0	0.957	c	BL
206.664	2.0	2-back	0.0	1.0	0.608	l	TL
208.671	2.0	2-back	0.0	1.0	0.766	x	BR
210.677	2.0	2-back	1.0	0.0	n/a	z	TL
212.683	2.0	2-back	0.0	1.0	0.618	g	TR
214.689	2.0	2-back	0.0	1.0	0.496	f	BR
216.696	2.0	2-back	0.0	1.0	0.607	z	TL
218.702	2.0	2-back	1.0	0.0	0.772	l	BR
220.708	2.0	2-back	0.0	0.0	0.58	r	TR
222.714	2.0	2-back	1.0	0.0	0.828	z	BR
224.72	2.0	2-back	0.0	1.0	0.954	n	BL
226.727	2.0	2-back	1.0	1.0	0.349	g	BR
232.764	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
234.82	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
236.877	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
238.933	2.0	baseline	1.0	1.0	0.66	redcross.bmp	n/a
240.99	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.046	2.0	baseline	1.0	1.0	0.705	redcross.bmp	n/a
245.102	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.159	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
249.215	2.0	baseline	1.0	1.0	0.363	redcross.bmp	n/a
251.272	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
253.328	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
255.384	2.0	baseline	1.0	1.0	0.53	redcross.bmp	n/a
