onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	v	BL
5.825	1.8	no_response	n/a	1.0	n/a	c	BR
7.624	2.0	2-back	1.0	0.0	n/a	g	BL
9.623	2.0	2-back	0.0	0.0	n/a	p	TR
11.622	2.0	2-back	0.0	0.0	n/a	n	TL
13.621	2.0	2-back	1.0	0.0	0.83	x	TR
15.62	2.0	2-back	0.0	0.0	n/a	p	BL
17.619	2.0	2-back	0.0	1.0	1.0	c	TL
19.618	2.0	2-back	0.0	1.0	0.713	l	TL
21.617	2.0	2-back	0.0	1.0	0.658	v	TR
23.617	2.0	2-back	1.0	1.0	0.649	x	TL
25.616	2.0	2-back	1.0	0.0	0.687	g	TR
27.615	2.0	2-back	0.0	1.0	0.845	t	BR
29.614	2.0	2-back	0.0	1.0	0.529	z	BL
31.613	2.0	2-back	1.0	1.0	1.056	n	BR
33.612	2.0	2-back	0.0	1.0	0.569	f	TR
35.611	2.0	2-back	0.0	1.0	0.46	x	TL
37.61	2.0	2-back	0.0	1.0	1.129	n	BL
39.609	2.0	2-back	1.0	0.0	0.542	t	TL
41.608	2.0	2-back	0.0	1.0	0.721	l	BR
43.607	2.0	2-back	0.0	1.0	1.06	r	BL
45.606	2.0	2-back	1.0	1.0	1.046	f	BR
47.605	2.0	2-back	0.0	1.0	1.047	s	BR
49.604	2.0	2-back	0.0	1.0	1.041	v	TL
51.603	2.0	2-back	0.0	1.0	0.524	n	TR
53.603	2.0	2-back	1.0	0.0	0.559	p	TL
55.602	2.0	2-back	0.0	0.0	n/a	s	BL
57.601	2.0	2-back	0.0	1.0	0.696	g	BR
59.6	2.0	2-back	1.0	0.0	0.793	f	BL
61.599	2.0	2-back	0.0	1.0	0.565	r	TR
63.598	2.0	2-back	0.0	1.0	0.562	s	TL
65.597	2.0	2-back	0.0	1.0	0.777	z	BL
67.596	2.0	2-back	1.0	0.0	0.666	c	TL
69.595	2.0	2-back	0.0	1.0	0.651	r	BR
71.594	2.0	2-back	0.0	1.0	0.791	v	TR
73.593	2.0	2-back	1.0	1.0	0.693	l	BR
75.592	2.0	2-back	1.0	0.0	0.671	c	TR
77.591	2.0	2-back	0.0	0.0	n/a	s	BL
79.59	2.0	2-back	0.0	1.0	0.612	t	TL
81.589	2.0	2-back	0.0	1.0	0.495	r	TR
83.589	2.0	2-back	0.0	0.0	0.964	z	BL
85.588	2.0	2-back	1.0	0.0	0.599	l	TR
87.587	2.0	2-back	1.0	0.0	0.798	x	BL
89.586	2.0	2-back	0.0	1.0	0.616	f	BR
91.585	2.0	2-back	0.0	1.0	0.435	p	TR
93.584	2.0	2-back	1.0	0.0	0.998	g	BR
95.583	2.0	2-back	0.0	1.0	1.118	t	BL
97.582	2.0	2-back	1.0	1.0	0.597	z	BR
103.629	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.678	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.727	2.0	baseline	1.0	1.0	0.617	redcross.bmp	n/a
109.776	2.0	baseline	1.0	1.0	0.663	redcross.bmp	n/a
111.825	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
113.874	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
115.923	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.972	2.0	baseline	1.0	1.0	0.547	redcross.bmp	n/a
120.021	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.07	2.0	baseline	1.0	1.0	0.488	redcross.bmp	n/a
124.119	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.168	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.216	1.8	no_response	n/a	1.0	n/a	l	TR
