onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	v	TR
5.825	2.0	1-back	1.0	1.0	0.77	v	BL
7.841	2.0	1-back	0.0	1.0	0.793	p	TR
9.857	2.0	1-back	0.0	1.0	0.817	g	BL
11.872	2.0	1-back	1.0	1.0	0.692	g	TL
13.888	2.0	1-back	0.0	1.0	0.625	z	BR
15.904	2.0	1-back	0.0	0.0	0.678	l	TL
17.92	2.0	1-back	0.0	1.0	0.577	t	BL
19.935	2.0	1-back	1.0	1.0	0.761	t	TR
21.951	2.0	1-back	0.0	1.0	0.803	s	BR
23.967	2.0	1-back	0.0	1.0	0.752	l	TL
25.983	2.0	1-back	0.0	1.0	0.78	x	BR
27.998	2.0	1-back	1.0	1.0	0.827	x	TR
30.014	2.0	1-back	1.0	0.0	0.766	x	TL
32.03	2.0	1-back	0.0	1.0	0.763	s	TR
34.046	2.0	1-back	1.0	0.0	0.751	s	BL
36.061	2.0	1-back	0.0	0.0	n/a	n	TR
38.077	2.0	1-back	0.0	1.0	0.981	r	TL
40.093	2.0	1-back	0.0	0.0	0.792	s	TR
42.108	2.0	1-back	0.0	1.0	0.535	t	BL
44.124	2.0	1-back	1.0	1.0	0.846	t	TR
46.14	2.0	1-back	0.0	1.0	0.659	l	BR
48.156	2.0	1-back	0.0	1.0	0.63	r	BL
50.171	2.0	1-back	0.0	1.0	0.904	f	TL
52.187	2.0	1-back	1.0	1.0	1.028	f	BL
54.203	2.0	1-back	0.0	1.0	0.768	z	BR
56.219	2.0	1-back	1.0	0.0	0.799	z	BL
58.234	2.0	1-back	0.0	1.0	0.758	c	TL
60.25	2.0	1-back	1.0	1.0	0.688	c	TR
62.266	2.0	1-back	0.0	1.0	0.711	p	BR
64.282	2.0	1-back	1.0	1.0	0.965	p	BL
66.297	2.0	1-back	0.0	1.0	0.774	n	TL
68.313	2.0	1-back	1.0	0.0	0.66	n	TR
70.329	2.0	1-back	0.0	0.0	1.03	f	BL
72.344	2.0	1-back	1.0	0.0	0.498	f	BR
74.36	2.0	1-back	0.0	1.0	0.625	l	TL
76.376	2.0	1-back	0.0	1.0	0.746	r	BR
78.392	2.0	1-back	1.0	0.0	0.637	r	TL
80.407	2.0	1-back	0.0	0.0	0.703	z	BR
82.423	2.0	1-back	0.0	1.0	0.495	n	BL
84.439	2.0	1-back	0.0	1.0	0.795	c	TL
86.455	2.0	1-back	1.0	0.0	0.638	c	TR
88.47	2.0	1-back	0.0	1.0	0.621	v	BR
90.486	2.0	1-back	1.0	1.0	0.868	v	TL
92.502	2.0	1-back	0.0	1.0	0.64	x	TR
94.518	2.0	1-back	0.0	0.0	n/a	g	BR
96.533	2.0	1-back	0.0	0.0	n/a	p	BL
98.549	2.0	1-back	0.0	1.0	0.711	g	BR
104.613	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.662	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.711	2.0	baseline	1.0	1.0	0.43	redcross.bmp	n/a
110.76	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
112.809	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.858	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.907	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.956	2.0	baseline	1.0	1.0	0.427	redcross.bmp	n/a
121.005	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
123.054	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
125.103	2.0	baseline	1.0	1.0	0.504	redcross.bmp	n/a
127.152	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
