onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.017	1.8	no_response	n/a	1.0	n/a	r	TL
5.823	1.8	no_response	n/a	1.0	n/a	p	TR
7.628	2.0	2-back	0.0	1.0	0.56	x	BL
9.651	2.0	2-back	1.0	1.0	1.079	t	TR
11.674	2.0	2-back	0.0	1.0	0.839	g	TL
13.697	2.0	2-back	0.0	0.0	1.103	n	BL
15.72	2.0	2-back	1.0	0.0	1.026	z	TL
17.743	2.0	2-back	0.0	1.0	0.664	c	TR
19.766	2.0	2-back	0.0	1.0	0.805	v	BR
21.789	2.0	2-back	0.0	1.0	0.933	n	BL
23.812	2.0	2-back	1.0	1.0	0.787	g	BR
25.835	2.0	2-back	0.0	1.0	0.849	s	TL
27.858	2.0	2-back	0.0	1.0	0.869	v	TR
29.881	2.0	2-back	1.0	1.0	0.782	l	TL
31.904	2.0	2-back	1.0	1.0	0.836	f	TR
33.927	2.0	2-back	0.0	1.0	0.79	s	BR
35.95	2.0	2-back	0.0	0.0	1.009	c	TL
37.973	2.0	2-back	0.0	1.0	0.672	r	BL
39.996	2.0	2-back	1.0	1.0	0.949	s	TL
42.019	2.0	2-back	0.0	1.0	0.681	l	BR
44.042	2.0	2-back	0.0	1.0	0.852	z	BL
46.065	2.0	2-back	1.0	1.0	0.697	x	BR
48.088	2.0	2-back	0.0	1.0	0.846	f	TL
50.111	2.0	2-back	0.0	0.0	0.64	t	TL
52.134	2.0	2-back	0.0	1.0	0.769	x	TR
54.157	2.0	2-back	1.0	0.0	0.738	r	TL
56.18	2.0	2-back	0.0	1.0	0.653	l	BR
58.203	2.0	2-back	0.0	1.0	0.936	n	BL
60.226	2.0	2-back	1.0	1.0	0.742	s	BR
62.249	2.0	2-back	0.0	0.0	1.061	f	BR
64.272	2.0	2-back	0.0	1.0	0.864	g	BL
66.295	2.0	2-back	0.0	1.0	0.767	p	TR
68.318	2.0	2-back	1.0	0.0	0.97	v	BL
70.34	2.0	2-back	0.0	1.0	0.844	t	BR
72.363	2.0	2-back	1.0	1.0	1.047	t	BL
74.386	2.0	2-back	0.0	1.0	0.725	z	TL
76.409	2.0	2-back	0.0	1.0	0.74	f	TR
78.432	2.0	2-back	1.0	1.0	1.038	p	TL
80.455	2.0	2-back	1.0	0.0	n/a	g	TR
82.478	2.0	2-back	0.0	1.0	0.792	c	BL
84.501	2.0	2-back	1.0	0.0	0.76	r	TR
86.524	2.0	2-back	0.0	1.0	1.17	p	BR
88.547	2.0	2-back	0.0	1.0	1.113	x	TL
90.57	2.0	2-back	0.0	1.0	1.037	l	TR
92.593	2.0	2-back	0.0	1.0	0.943	z	BL
94.616	2.0	2-back	0.0	1.0	0.867	c	BR
96.639	2.0	2-back	1.0	1.0	0.874	n	BL
98.662	2.0	2-back	1.0	0.0	1.087	v	BR
104.716	2.0	baseline	1.0	1.0	0.646	redcross.bmp	n/a
106.773	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.829	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.885	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.942	2.0	baseline	1.0	1.0	0.606	redcross.bmp	n/a
114.998	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.055	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
119.111	2.0	baseline	1.0	1.0	0.43	redcross.bmp	n/a
121.167	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
123.224	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
125.28	2.0	baseline	1.0	1.0	0.45	redcross.bmp	n/a
127.337	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
133.387	1.8	no_response	n/a	1.0	n/a	t	TR
135.193	2.0	1-back	0.0	1.0	0.794	c	BR
137.216	2.0	1-back	0.0	1.0	0.739	n	BL
139.239	2.0	1-back	1.0	1.0	0.755	l	BL
141.262	2.0	1-back	0.0	1.0	0.539	g	TR
143.285	2.0	1-back	0.0	1.0	0.751	f	TL
145.308	2.0	1-back	1.0	1.0	0.561	p	TL
147.331	2.0	1-back	0.0	1.0	0.729	x	TR
149.353	2.0	1-back	1.0	1.0	0.93	n	TR
151.376	2.0	1-back	0.0	1.0	0.963	s	TL
153.399	2.0	1-back	0.0	1.0	0.935	r	BR
155.422	2.0	1-back	1.0	1.0	0.883	v	BR
157.445	2.0	1-back	0.0	1.0	0.897	l	TL
159.468	2.0	1-back	1.0	1.0	1.001	z	TL
161.491	2.0	1-back	0.0	1.0	0.952	c	TR
163.514	2.0	1-back	0.0	1.0	0.917	f	BL
165.537	2.0	1-back	0.0	1.0	0.928	p	TR
167.56	2.0	1-back	1.0	1.0	0.854	t	TR
169.583	2.0	1-back	0.0	1.0	0.683	g	BL
171.606	2.0	1-back	1.0	1.0	0.937	x	BL
173.629	2.0	1-back	0.0	1.0	0.88	c	TR
175.652	2.0	1-back	1.0	1.0	0.869	p	TR
177.675	2.0	1-back	0.0	1.0	0.898	z	TL
179.698	2.0	1-back	0.0	1.0	0.96	r	BL
181.721	2.0	1-back	1.0	1.0	0.835	n	BL
183.744	2.0	1-back	0.0	1.0	0.843	z	BR
185.767	2.0	1-back	0.0	1.0	0.861	f	BL
187.79	2.0	1-back	0.0	1.0	0.899	s	TL
189.813	2.0	1-back	0.0	1.0	0.779	v	BR
191.836	2.0	1-back	1.0	1.0	0.835	c	BR
193.859	2.0	1-back	0.0	1.0	0.726	z	TL
195.882	2.0	1-back	1.0	1.0	0.771	r	TL
197.905	2.0	1-back	0.0	1.0	0.722	l	TR
199.928	2.0	1-back	1.0	1.0	0.681	n	TR
201.951	2.0	1-back	0.0	1.0	0.697	v	BR
203.974	2.0	1-back	1.0	1.0	0.765	f	BR
205.997	2.0	1-back	0.0	1.0	0.714	r	TL
208.02	2.0	1-back	1.0	1.0	0.632	l	TL
210.043	2.0	1-back	0.0	1.0	0.642	x	BR
212.066	2.0	1-back	0.0	1.0	0.659	s	BL
214.089	2.0	1-back	0.0	1.0	0.713	g	TL
216.112	2.0	1-back	0.0	1.0	0.661	t	BL
218.135	2.0	1-back	0.0	1.0	0.765	p	BR
220.158	2.0	1-back	0.0	1.0	0.569	s	BL
