onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	v	BL
5.825	1.8	no_response	n/a	1.0	n/a	c	BR
7.625	2.0	2-back	1.0	1.0	0.579	g	BL
9.624	2.0	2-back	0.0	1.0	0.561	p	TR
11.623	2.0	2-back	0.0	1.0	0.573	n	TL
13.622	2.0	2-back	1.0	1.0	0.467	x	TR
15.621	2.0	2-back	0.0	1.0	0.5	p	BL
17.62	2.0	2-back	0.0	1.0	0.562	c	TL
19.619	2.0	2-back	0.0	1.0	0.598	l	TL
21.618	2.0	2-back	0.0	1.0	0.881	v	TR
23.617	2.0	2-back	1.0	1.0	0.562	x	TL
25.616	2.0	2-back	1.0	0.0	0.337	g	TR
27.615	2.0	2-back	0.0	1.0	0.568	t	BR
29.614	2.0	2-back	0.0	1.0	0.787	z	BL
31.613	2.0	2-back	1.0	1.0	0.421	n	BR
33.612	2.0	2-back	0.0	1.0	0.495	f	TR
35.612	2.0	2-back	0.0	1.0	0.819	x	TL
37.611	2.0	2-back	0.0	1.0	0.611	n	BL
39.61	2.0	2-back	1.0	1.0	0.773	t	TL
41.609	2.0	2-back	0.0	1.0	0.322	l	BR
43.608	2.0	2-back	0.0	1.0	0.55	r	BL
45.607	2.0	2-back	1.0	0.0	0.435	f	BR
47.606	2.0	2-back	0.0	1.0	0.35	s	BR
49.605	2.0	2-back	0.0	1.0	0.581	v	TL
51.604	2.0	2-back	0.0	1.0	0.452	n	TR
53.603	2.0	2-back	1.0	0.0	0.327	p	TL
55.602	2.0	2-back	0.0	1.0	0.283	s	BL
57.601	2.0	2-back	0.0	1.0	0.763	g	BR
59.6	2.0	2-back	1.0	1.0	0.474	f	BL
61.599	2.0	2-back	0.0	1.0	0.602	r	TR
63.598	2.0	2-back	0.0	1.0	0.666	s	TL
65.598	2.0	2-back	0.0	1.0	0.825	z	BL
67.597	2.0	2-back	1.0	1.0	1.011	c	TL
69.596	2.0	2-back	0.0	1.0	0.348	r	BR
71.595	2.0	2-back	0.0	1.0	0.562	v	TR
73.594	2.0	2-back	1.0	0.0	0.606	l	BR
75.593	2.0	2-back	1.0	0.0	0.534	c	TR
77.592	2.0	2-back	0.0	1.0	0.546	s	BL
79.591	2.0	2-back	0.0	1.0	0.581	t	TL
81.59	2.0	2-back	0.0	1.0	0.482	r	TR
83.589	2.0	2-back	0.0	1.0	0.514	z	BL
85.588	2.0	2-back	1.0	0.0	0.53	l	TR
87.587	2.0	2-back	1.0	0.0	0.536	x	BL
89.586	2.0	2-back	0.0	0.0	0.309	f	BR
91.585	2.0	2-back	0.0	1.0	0.549	p	TR
93.584	2.0	2-back	1.0	0.0	0.377	g	BR
95.584	2.0	2-back	0.0	1.0	0.72	t	BL
97.583	2.0	2-back	1.0	0.0	0.663	z	BR
103.629	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.679	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.728	2.0	baseline	1.0	1.0	0.373	redcross.bmp	n/a
109.777	2.0	baseline	1.0	1.0	0.395	redcross.bmp	n/a
111.826	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
113.875	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
115.924	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.973	2.0	baseline	1.0	1.0	0.349	redcross.bmp	n/a
120.022	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.071	2.0	baseline	1.0	1.0	0.28	redcross.bmp	n/a
124.12	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.169	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.216	1.8	no_response	n/a	1.0	n/a	l	TR
