onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.017	1.8	no_response	n/a	1.0	n/a	c	TR
5.823	1.8	no_response	n/a	1.0	n/a	g	BL
7.628	2.0	2-back	1.0	1.0	0.662	c	BL
9.651	2.0	2-back	0.0	0.0	n/a	p	TR
11.674	2.0	2-back	0.0	1.0	0.498	v	TL
13.697	2.0	2-back	1.0	1.0	0.632	p	TL
15.72	2.0	2-back	0.0	1.0	0.734	s	BL
17.743	2.0	2-back	0.0	1.0	0.503	x	TR
19.766	2.0	2-back	1.0	0.0	0.686	s	TR
21.789	2.0	2-back	1.0	1.0	0.627	x	TL
23.812	2.0	2-back	0.0	1.0	0.527	n	BR
25.835	2.0	2-back	0.0	1.0	0.632	f	BL
27.858	2.0	2-back	1.0	1.0	0.762	n	TL
29.881	2.0	2-back	0.0	1.0	0.676	t	TL
31.904	2.0	2-back	0.0	0.0	n/a	l	TR
33.927	2.0	2-back	0.0	1.0	0.544	r	BR
35.95	2.0	2-back	1.0	0.0	0.675	l	TL
37.973	2.0	2-back	0.0	1.0	0.739	z	TL
39.996	2.0	2-back	0.0	0.0	0.6	v	BL
42.019	2.0	2-back	0.0	1.0	0.32	t	BR
44.042	2.0	2-back	0.0	1.0	0.731	g	TL
46.065	2.0	2-back	1.0	0.0	1.018	t	BL
48.088	2.0	2-back	0.0	1.0	0.839	f	BR
50.111	2.0	2-back	0.0	1.0	0.694	r	BR
52.134	2.0	2-back	1.0	1.0	0.694	f	TR
54.157	2.0	2-back	0.0	1.0	0.685	z	BL
56.18	2.0	2-back	0.0	1.0	0.43	c	BR
58.203	2.0	2-back	0.0	1.0	0.725	g	TR
60.226	2.0	2-back	1.0	0.0	1.047	c	BL
62.249	2.0	2-back	0.0	1.0	0.52	p	BR
64.272	2.0	2-back	0.0	1.0	0.472	v	BR
66.295	2.0	2-back	1.0	0.0	n/a	p	TR
68.318	2.0	2-back	0.0	1.0	0.099	s	TL
70.341	2.0	2-back	0.0	0.0	n/a	t	BR
72.364	2.0	2-back	1.0	0.0	0.082	s	TR
74.387	2.0	2-back	0.0	0.0	n/a	r	TL
76.41	2.0	2-back	0.0	0.0	n/a	z	BL
78.433	2.0	2-back	1.0	0.0	1.181	r	TR
80.456	2.0	2-back	1.0	0.0	0.32	z	BR
82.478	2.0	2-back	0.0	1.0	0.434	n	TL
84.501	2.0	2-back	0.0	1.0	0.44	g	TR
86.525	2.0	2-back	1.0	0.0	n/a	n	BL
88.547	2.0	2-back	0.0	1.0	0.466	x	BR
90.57	2.0	2-back	0.0	1.0	0.313	v	TR
92.593	2.0	2-back	1.0	0.0	n/a	x	BL
94.616	2.0	2-back	0.0	1.0	0.156	l	BL
96.639	2.0	2-back	0.0	1.0	0.201	f	TL
98.662	2.0	2-back	1.0	0.0	0.292	l	BR
104.716	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.773	2.0	baseline	1.0	1.0	0.389	redcross.bmp	n/a
108.829	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.886	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
112.942	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.999	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.055	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
119.111	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
121.168	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
123.224	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
125.281	2.0	baseline	n/a	0.0	0.205	blackcross.bmp	n/a
127.337	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
133.387	1.8	no_response	n/a	0.0	0.761	v	TR
135.193	2.0	1-back	1.0	0.0	0.322	v	BL
137.216	2.0	1-back	0.0	1.0	0.509	p	TR
139.239	2.0	1-back	0.0	1.0	0.494	g	BL
141.262	2.0	1-back	1.0	1.0	0.739	g	TL
143.285	2.0	1-back	0.0	1.0	0.739	z	BR
145.308	2.0	1-back	0.0	1.0	0.799	l	TL
147.331	2.0	1-back	0.0	1.0	1.019	t	BL
149.354	2.0	1-back	1.0	1.0	0.643	t	TR
151.377	2.0	1-back	0.0	1.0	0.764	s	BR
153.4	2.0	1-back	0.0	0.0	0.729	l	TL
155.423	2.0	1-back	0.0	1.0	0.512	x	BR
157.446	2.0	1-back	1.0	1.0	0.726	x	TR
