onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	0.0	0.983	c	TR
5.825	1.8	no_response	n/a	0.0	0.96	g	BL
7.624	2.0	2-back	1.0	1.0	0.889	c	BL
9.64	2.0	2-back	0.0	1.0	0.577	p	TR
11.656	2.0	2-back	0.0	1.0	0.874	v	TL
13.671	2.0	2-back	1.0	0.0	0.874	p	TL
15.687	2.0	2-back	0.0	1.0	0.793	s	BL
17.703	2.0	2-back	0.0	1.0	1.001	x	TR
19.718	2.0	2-back	1.0	0.0	0.957	s	TR
21.734	2.0	2-back	1.0	1.0	1.055	x	TL
23.75	2.0	2-back	0.0	1.0	0.963	n	BR
25.766	2.0	2-back	0.0	1.0	0.758	f	BL
27.781	2.0	2-back	1.0	1.0	0.945	n	TL
29.797	2.0	2-back	0.0	1.0	0.819	t	TL
31.813	2.0	2-back	0.0	1.0	1.184	l	TR
33.829	2.0	2-back	0.0	1.0	0.781	r	BR
35.844	2.0	2-back	1.0	0.0	0.655	l	TL
37.86	2.0	2-back	0.0	1.0	0.788	z	TL
39.876	2.0	2-back	0.0	1.0	0.555	v	BL
41.891	2.0	2-back	0.0	1.0	1.063	t	BR
43.907	2.0	2-back	0.0	1.0	1.025	g	TL
45.923	2.0	2-back	1.0	0.0	0.743	t	BL
47.939	2.0	2-back	0.0	1.0	0.533	f	BR
49.954	2.0	2-back	0.0	1.0	0.512	r	BR
51.97	2.0	2-back	1.0	1.0	0.766	f	TR
53.986	2.0	2-back	0.0	1.0	0.582	z	BL
56.001	2.0	2-back	0.0	1.0	0.49	c	BR
58.017	2.0	2-back	0.0	1.0	0.769	g	TR
60.033	2.0	2-back	1.0	0.0	0.787	c	BL
62.049	2.0	2-back	0.0	1.0	0.356	p	BR
64.064	2.0	2-back	0.0	1.0	0.499	v	BR
66.08	2.0	2-back	1.0	0.0	0.568	p	TR
68.096	2.0	2-back	0.0	1.0	0.342	s	TL
70.111	2.0	2-back	0.0	1.0	0.471	t	BR
72.127	2.0	2-back	1.0	1.0	0.791	s	TR
74.143	2.0	2-back	0.0	1.0	0.717	r	TL
76.159	2.0	2-back	0.0	1.0	0.524	z	BL
78.174	2.0	2-back	1.0	0.0	0.59	r	TR
80.19	2.0	2-back	1.0	0.0	0.563	z	BR
82.206	2.0	2-back	0.0	1.0	0.744	n	TL
84.221	2.0	2-back	0.0	1.0	0.552	g	TR
86.237	2.0	2-back	1.0	0.0	0.7	n	BL
88.253	2.0	2-back	0.0	1.0	0.44	x	BR
90.269	2.0	2-back	0.0	1.0	0.521	v	TR
92.284	2.0	2-back	1.0	0.0	0.727	x	BL
94.3	2.0	2-back	0.0	1.0	0.446	l	BL
96.316	2.0	2-back	0.0	1.0	0.438	f	TL
98.332	2.0	2-back	1.0	0.0	0.6	l	BR
104.395	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.444	2.0	baseline	1.0	1.0	0.371	redcross.bmp	n/a
108.493	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.542	2.0	baseline	1.0	1.0	0.645	redcross.bmp	n/a
112.591	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.64	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.689	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.738	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
120.787	2.0	baseline	n/a	0.0	0.068	blackcross.bmp	n/a
122.836	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
124.885	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.935	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.982	1.8	no_response	n/a	0.0	1.25	v	TR
134.781	2.0	1-back	1.0	0.0	0.909	v	BL
136.797	2.0	1-back	0.0	0.0	0.642	p	TR
138.813	2.0	1-back	0.0	0.0	n/a	g	BL
140.828	2.0	1-back	1.0	1.0	0.956	g	TL
142.844	2.0	1-back	0.0	1.0	0.495	z	BR
144.86	2.0	1-back	0.0	1.0	0.569	l	TL
146.875	2.0	1-back	0.0	1.0	0.537	t	BL
148.891	2.0	1-back	1.0	1.0	0.707	t	TR
150.907	2.0	1-back	0.0	1.0	0.53	s	BR
152.923	2.0	1-back	0.0	1.0	0.523	l	TL
154.938	2.0	1-back	0.0	1.0	0.626	x	BR
156.954	2.0	1-back	1.0	1.0	0.721	x	TR
158.97	2.0	1-back	1.0	1.0	1.074	x	TL
160.985	2.0	1-back	0.0	1.0	0.531	s	TR
163.001	2.0	1-back	1.0	1.0	0.772	s	BL
165.017	2.0	1-back	0.0	1.0	0.583	n	TR
167.033	2.0	1-back	0.0	1.0	0.798	r	TL
