onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.017	1.8	no_response	n/a	1.0	n/a	r	TL
5.822	1.8	no_response	n/a	0.0	1.127	p	TR
7.628	2.0	2-back	0.0	0.0	0.835	x	BL
9.651	2.0	2-back	1.0	1.0	1.022	t	TR
11.674	2.0	2-back	0.0	1.0	0.814	g	TL
13.697	2.0	2-back	0.0	1.0	0.935	n	BL
15.72	2.0	2-back	1.0	1.0	0.725	z	TL
17.743	2.0	2-back	0.0	1.0	0.667	c	TR
19.766	2.0	2-back	0.0	1.0	0.706	v	BR
21.789	2.0	2-back	0.0	1.0	0.728	n	BL
23.812	2.0	2-back	1.0	1.0	0.673	g	BR
25.835	2.0	2-back	0.0	1.0	0.644	s	TL
27.858	2.0	2-back	0.0	1.0	0.815	v	TR
29.881	2.0	2-back	1.0	1.0	0.657	l	TL
31.904	2.0	2-back	1.0	1.0	1.162	f	TR
33.927	2.0	2-back	0.0	1.0	0.7	s	BR
35.95	2.0	2-back	0.0	1.0	0.77	c	TL
37.973	2.0	2-back	0.0	1.0	0.75	r	BL
39.995	2.0	2-back	1.0	1.0	0.873	s	TL
42.018	2.0	2-back	0.0	1.0	0.62	l	BR
44.041	2.0	2-back	0.0	1.0	0.763	z	BL
46.064	2.0	2-back	1.0	1.0	0.69	x	BR
48.087	2.0	2-back	0.0	1.0	0.718	f	TL
50.11	2.0	2-back	0.0	1.0	0.85	t	TL
52.133	2.0	2-back	0.0	1.0	0.753	x	TR
54.156	2.0	2-back	1.0	1.0	0.697	r	TL
56.179	2.0	2-back	0.0	1.0	0.667	l	BR
58.202	2.0	2-back	0.0	1.0	0.921	n	BL
60.225	2.0	2-back	1.0	1.0	0.643	s	BR
62.248	2.0	2-back	0.0	0.0	0.878	f	BR
64.271	2.0	2-back	0.0	1.0	0.908	g	BL
66.294	2.0	2-back	0.0	1.0	0.681	p	TR
68.317	2.0	2-back	1.0	1.0	0.886	v	BL
70.34	2.0	2-back	0.0	1.0	0.453	t	BR
72.363	2.0	2-back	1.0	0.0	0.993	t	BL
74.386	2.0	2-back	0.0	1.0	0.658	z	TL
76.409	2.0	2-back	0.0	1.0	0.818	f	TR
78.432	2.0	2-back	1.0	1.0	0.405	p	TL
80.455	2.0	2-back	1.0	0.0	0.389	g	TR
82.478	2.0	2-back	0.0	1.0	0.602	c	BL
84.501	2.0	2-back	1.0	0.0	1.124	r	TR
86.524	2.0	2-back	0.0	1.0	0.873	p	BR
88.547	2.0	2-back	0.0	0.0	1.016	x	TL
90.57	2.0	2-back	0.0	1.0	0.645	l	TR
92.593	2.0	2-back	0.0	1.0	0.935	z	BL
94.616	2.0	2-back	0.0	1.0	0.818	c	BR
96.639	2.0	2-back	1.0	1.0	0.664	n	BL
98.662	2.0	2-back	1.0	1.0	1.085	v	BR
104.716	2.0	baseline	1.0	1.0	0.544	redcross.bmp	n/a
106.772	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.829	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.885	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.942	2.0	baseline	1.0	1.0	0.324	redcross.bmp	n/a
114.998	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.055	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
119.111	2.0	baseline	1.0	1.0	0.5	redcross.bmp	n/a
121.167	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
123.224	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
125.28	2.0	baseline	1.0	1.0	0.457	redcross.bmp	n/a
127.337	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
133.387	1.8	no_response	n/a	1.0	n/a	t	TR
135.193	2.0	1-back	0.0	1.0	0.998	c	BR
137.216	2.0	1-back	0.0	1.0	0.652	n	BL
139.239	2.0	1-back	1.0	1.0	0.623	l	BL
141.262	2.0	1-back	0.0	1.0	0.749	g	TR
143.285	2.0	1-back	0.0	1.0	0.944	f	TL
145.307	2.0	1-back	1.0	1.0	0.603	p	TL
147.33	2.0	1-back	0.0	1.0	0.829	x	TR
149.353	2.0	1-back	1.0	1.0	0.549	n	TR
151.376	2.0	1-back	0.0	1.0	0.745	s	TL
153.399	2.0	1-back	0.0	1.0	0.72	r	BR
155.422	2.0	1-back	1.0	1.0	0.642	v	BR
157.445	2.0	1-back	0.0	1.0	0.743	l	TL
159.468	2.0	1-back	1.0	1.0	0.732	z	TL
161.491	2.0	1-back	0.0	1.0	0.604	c	TR
163.514	2.0	1-back	0.0	1.0	0.673	f	BL
165.537	2.0	1-back	0.0	1.0	0.927	p	TR
167.56	2.0	1-back	1.0	1.0	0.741	t	TR
169.583	2.0	1-back	0.0	1.0	0.732	g	BL
171.606	2.0	1-back	1.0	1.0	0.514	x	BL
173.629	2.0	1-back	0.0	1.0	0.733	c	TR
175.652	2.0	1-back	1.0	1.0	0.581	p	TR
177.675	2.0	1-back	0.0	1.0	0.659	z	TL
179.698	2.0	1-back	0.0	1.0	0.615	r	BL
181.721	2.0	1-back	1.0	1.0	0.684	n	BL
183.744	2.0	1-back	0.0	1.0	0.747	z	BR
185.767	2.0	1-back	0.0	1.0	0.799	f	BL
187.79	2.0	1-back	0.0	1.0	0.682	s	TL
189.813	2.0	1-back	0.0	1.0	0.804	v	BR
191.836	2.0	1-back	1.0	1.0	0.688	c	BR
193.859	2.0	1-back	0.0	1.0	0.72	z	TL
195.882	2.0	1-back	1.0	1.0	0.707	r	TL
197.905	2.0	1-back	0.0	1.0	0.703	l	TR
199.928	2.0	1-back	1.0	1.0	0.67	n	TR
201.951	2.0	1-back	0.0	1.0	0.645	v	BR
203.974	2.0	1-back	1.0	1.0	0.715	f	BR
