onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	c	TR
5.825	1.8	no_response	n/a	1.0	n/a	g	BL
7.624	2.0	2-back	1.0	1.0	0.781	c	BL
9.64	2.0	2-back	0.0	1.0	0.756	p	TR
11.656	2.0	2-back	0.0	1.0	0.771	v	TL
13.671	2.0	2-back	1.0	1.0	0.76	p	TL
15.687	2.0	2-back	0.0	1.0	0.643	s	BL
17.703	2.0	2-back	0.0	1.0	0.752	x	TR
19.718	2.0	2-back	1.0	1.0	0.703	s	TR
21.734	2.0	2-back	1.0	0.0	0.611	x	TL
23.75	2.0	2-back	0.0	1.0	0.535	n	BR
25.766	2.0	2-back	0.0	1.0	0.735	f	BL
27.781	2.0	2-back	1.0	1.0	0.894	n	TL
29.797	2.0	2-back	0.0	1.0	0.695	t	TL
31.813	2.0	2-back	0.0	1.0	0.802	l	TR
33.829	2.0	2-back	0.0	1.0	0.953	r	BR
35.844	2.0	2-back	1.0	1.0	0.801	l	TL
37.86	2.0	2-back	0.0	1.0	0.658	z	TL
39.876	2.0	2-back	0.0	1.0	0.844	v	BL
41.891	2.0	2-back	0.0	1.0	0.744	t	BR
43.907	2.0	2-back	0.0	1.0	0.775	g	TL
45.923	2.0	2-back	1.0	1.0	0.747	t	BL
47.939	2.0	2-back	0.0	1.0	0.789	f	BR
49.954	2.0	2-back	0.0	1.0	0.812	r	BR
51.97	2.0	2-back	1.0	1.0	0.902	f	TR
53.986	2.0	2-back	0.0	1.0	0.856	z	BL
56.001	2.0	2-back	0.0	1.0	0.918	c	BR
58.017	2.0	2-back	0.0	1.0	0.834	g	TR
60.033	2.0	2-back	1.0	1.0	0.838	c	BL
62.049	2.0	2-back	0.0	1.0	0.851	p	BR
64.064	2.0	2-back	0.0	1.0	0.824	v	BR
66.08	2.0	2-back	1.0	0.0	0.999	p	TR
68.096	2.0	2-back	0.0	1.0	0.76	s	TL
70.112	2.0	2-back	0.0	1.0	0.762	t	BR
72.127	2.0	2-back	1.0	1.0	0.897	s	TR
74.143	2.0	2-back	0.0	1.0	0.53	r	TL
76.159	2.0	2-back	0.0	1.0	0.688	z	BL
78.174	2.0	2-back	1.0	1.0	0.763	r	TR
80.19	2.0	2-back	1.0	0.0	0.413	z	BR
82.206	2.0	2-back	0.0	0.0	0.644	n	TL
84.222	2.0	2-back	0.0	1.0	0.557	g	TR
86.237	2.0	2-back	1.0	0.0	0.571	n	BL
88.253	2.0	2-back	0.0	1.0	0.592	x	BR
90.269	2.0	2-back	0.0	1.0	0.725	v	TR
92.285	2.0	2-back	1.0	1.0	0.88	x	BL
94.3	2.0	2-back	0.0	1.0	0.646	l	BL
96.316	2.0	2-back	0.0	1.0	0.846	f	TL
98.332	2.0	2-back	1.0	0.0	0.754	l	BR
104.395	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.444	2.0	baseline	1.0	1.0	0.797	redcross.bmp	n/a
108.493	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.542	2.0	baseline	1.0	1.0	0.544	redcross.bmp	n/a
112.591	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.641	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.69	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.739	2.0	baseline	1.0	1.0	0.668	redcross.bmp	n/a
120.788	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.837	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
124.886	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.935	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.982	1.8	no_response	n/a	1.0	n/a	v	TR
134.781	2.0	1-back	1.0	1.0	0.79	v	BL
136.797	2.0	1-back	0.0	1.0	0.52	p	TR
138.813	2.0	1-back	0.0	1.0	0.67	g	BL
