onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	v	TR
5.825	1.8	no_response	n/a	1.0	n/a	r	BR
7.624	2.0	2-back	1.0	1.0	0.715	v	TL
9.623	2.0	2-back	0.0	1.0	0.696	g	TR
11.623	2.0	2-back	0.0	1.0	0.674	p	BL
13.622	2.0	2-back	1.0	1.0	0.809	g	BR
15.621	2.0	2-back	0.0	1.0	0.548	n	TL
17.62	2.0	2-back	0.0	1.0	0.586	x	TR
19.619	2.0	2-back	0.0	1.0	0.464	l	BR
21.618	2.0	2-back	0.0	1.0	0.508	c	TL
23.617	2.0	2-back	1.0	1.0	0.537	l	BL
25.616	2.0	2-back	1.0	0.0	0.414	c	TR
27.615	2.0	2-back	0.0	1.0	0.477	t	BR
29.614	2.0	2-back	0.0	1.0	0.4	n	TL
31.613	2.0	2-back	1.0	1.0	0.643	t	BR
33.612	2.0	2-back	0.0	1.0	0.39	f	TR
35.611	2.0	2-back	0.0	1.0	0.421	n	BR
37.611	2.0	2-back	0.0	1.0	0.704	x	TL
39.61	2.0	2-back	1.0	1.0	0.557	n	BL
41.609	2.0	2-back	0.0	1.0	0.557	r	TR
43.608	2.0	2-back	0.0	1.0	0.542	f	TL
45.607	2.0	2-back	1.0	1.0	0.577	r	BR
47.606	2.0	2-back	0.0	1.0	0.437	s	TR
49.605	2.0	2-back	0.0	1.0	0.644	v	BL
51.604	2.0	2-back	0.0	1.0	0.581	p	TL
53.603	2.0	2-back	1.0	1.0	0.631	v	TR
55.602	2.0	2-back	0.0	1.0	0.528	s	BL
57.601	2.0	2-back	0.0	1.0	0.811	p	BR
59.6	2.0	2-back	1.0	0.0	0.668	s	TR
61.599	2.0	2-back	0.0	1.0	0.781	g	BL
63.598	2.0	2-back	0.0	0.0	0.661	z	TL
65.598	2.0	2-back	0.0	1.0	0.6	r	BR
67.597	2.0	2-back	1.0	1.0	0.58	z	BL
69.596	2.0	2-back	0.0	1.0	0.653	c	BL
71.595	2.0	2-back	0.0	1.0	0.56	t	BR
73.594	2.0	2-back	1.0	0.0	0.649	c	TL
75.593	2.0	2-back	1.0	1.0	0.746	t	BL
77.592	2.0	2-back	0.0	1.0	0.763	s	BR
79.591	2.0	2-back	0.0	1.0	0.919	x	BL
81.59	2.0	2-back	0.0	1.0	0.877	f	TR
83.589	2.0	2-back	1.0	1.0	0.831	x	TR
85.588	2.0	2-back	1.0	1.0	0.876	f	BR
87.587	2.0	2-back	0.0	1.0	0.8	l	TL
89.586	2.0	2-back	0.0	1.0	0.903	p	BL
91.586	2.0	2-back	1.0	1.0	0.755	l	BL
93.585	2.0	2-back	0.0	1.0	0.847	z	TL
95.584	2.0	2-back	0.0	1.0	0.867	g	TL
97.583	2.0	2-back	1.0	1.0	0.763	z	TR
103.63	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.679	2.0	baseline	1.0	1.0	0.41	redcross.bmp	n/a
107.728	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
109.777	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
111.826	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
113.875	2.0	baseline	1.0	1.0	0.337	redcross.bmp	n/a
115.924	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.973	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.022	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.071	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.12	2.0	baseline	1.0	1.0	0.515	redcross.bmp	n/a
126.169	2.0	baseline	1.0	1.0	0.651	redcross.bmp	n/a
132.217	1.8	no_response	n/a	1.0	n/a	r	TL
134.016	2.0	1-back	1.0	1.0	0.513	r	TR
136.015	2.0	1-back	0.0	1.0	0.475	g	BR
138.014	2.0	1-back	1.0	0.0	0.427	g	TL
140.013	2.0	1-back	0.0	1.0	0.77	f	TR
142.012	2.0	1-back	0.0	0.0	0.666	t	BL
144.011	2.0	1-back	0.0	1.0	0.682	v	TL
146.01	2.0	1-back	0.0	1.0	0.847	p	TR
148.009	2.0	1-back	1.0	1.0	0.655	p	BL
150.008	2.0	1-back	0.0	1.0	0.684	z	BR
152.007	2.0	1-back	0.0	1.0	0.798	s	TR
154.007	2.0	1-back	1.0	1.0	0.727	s	BL
156.006	2.0	1-back	0.0	1.0	0.703	c	TL
158.005	2.0	1-back	1.0	1.0	0.785	c	BR
160.004	2.0	1-back	0.0	1.0	0.72	l	BR
162.003	2.0	1-back	0.0	1.0	0.827	n	BL
164.002	2.0	1-back	0.0	1.0	0.852	v	TL
166.001	2.0	1-back	1.0	1.0	0.739	v	TR
168.0	2.0	1-back	0.0	1.0	0.661	z	BR
169.999	2.0	1-back	0.0	1.0	0.801	s	TL
171.998	2.0	1-back	0.0	1.0	0.853	x	TR
173.997	2.0	1-back	1.0	1.0	0.696	x	BL
175.996	2.0	1-back	1.0	1.0	0.729	x	BR
177.995	2.0	1-back	0.0	1.0	0.626	v	TR
179.995	2.0	1-back	0.0	1.0	0.707	z	TL
181.994	2.0	1-back	1.0	1.0	0.751	z	BR
183.993	2.0	1-back	0.0	1.0	0.756	f	BL
